2024-11-09 17:12:28,170 - Method: GET, Path: /one_product/672f3fac0be52082ed656543, Status Code: 200, Response Time: 0.773 seconds, Client IP: 127.0.0.1
2024-11-09 17:12:29,951 - Method: GET, Path: /one_product/672f3fac0be52082ed656543, Status Code: 200, Response Time: 0.788 seconds, Client IP: 127.0.0.1
2024-11-09 17:12:31,664 - Method: GET, Path: /one_product/672f3fac0be52082ed656543, Status Code: 200, Response Time: 0.863 seconds, Client IP: 127.0.0.1
2024-11-09 17:12:33,518 - Method: GET, Path: /one_product/672f3fac0be52082ed656543, Status Code: 200, Response Time: 0.800 seconds, Client IP: 127.0.0.1
2024-11-09 17:12:35,147 - Method: GET, Path: /one_product/672f3fac0be52082ed656543, Status Code: 200, Response Time: 0.783 seconds, Client IP: 127.0.0.1
2024-11-09 17:12:36,977 - Method: GET, Path: /one_product/672f3fac0be52082ed656543, Status Code: 200, Response Time: 0.790 seconds, Client IP: 127.0.0.1
2024-11-09 17:18:39,008 - Method: POST, Path: /upload/672f3bf755afc55d0b7bb10b, Status Code: 200, Response Time: 1.026 seconds, Client IP: 127.0.0.1
2024-11-09 17:20:08,487 - Method: POST, Path: /upload/672f3c5655afc55d0b7bb10d, Status Code: 200, Response Time: 1.130 seconds, Client IP: 127.0.0.1
2024-11-09 17:21:55,035 - Method: POST, Path: /upload/672f3cf40be52082ed656532, Status Code: 200, Response Time: 1.003 seconds, Client IP: 127.0.0.1
2024-11-09 17:22:49,669 - Method: GET, Path: /list-files, Status Code: 200, Response Time: 0.003 seconds, Client IP: 127.0.0.1
2024-11-09 17:23:53,558 - Method: GET, Path: /download/672f3bf755afc55d0b7bb10b/Apple i14, Status Code: 401, Response Time: 0.001 seconds, Client IP: 127.0.0.1
2024-11-09 17:24:06,869 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.245 seconds, Client IP: 127.0.0.1
2024-11-09 17:24:25,002 - Method: GET, Path: /download/672f3bf755afc55d0b7bb10b/Apple i14, Status Code: 200, Response Time: 0.003 seconds, Client IP: 127.0.0.1
2024-11-09 17:25:01,832 - Method: GET, Path: /download/672f41070be52082ed656546/microsoft, Status Code: 500, Response Time: 0.005 seconds, Client IP: 127.0.0.1
2024-11-09 17:25:23,940 - Method: GET, Path: /one_product/672f3fac0be52082ed656543, Status Code: 200, Response Time: 0.917 seconds, Client IP: 127.0.0.1
2024-11-09 17:26:02,218 - Method: GET, Path: /list-files, Status Code: 401, Response Time: 0.001 seconds, Client IP: 127.0.0.1
2024-11-09 17:26:06,603 - Method: GET, Path: /list-files, Status Code: 200, Response Time: 0.002 seconds, Client IP: 127.0.0.1
2024-11-09 17:29:44,312 - Method: GET, Path: /list-files, Status Code: 401, Response Time: 0.002 seconds, Client IP: 127.0.0.1
2024-11-09 17:29:44,646 - Method: GET, Path: /favicon.ico, Status Code: 404, Response Time: 0.000 seconds, Client IP: 127.0.0.1
2024-11-09 17:31:15,107 - Method: POST, Path: /register, Status Code: 200, Response Time: 1.314 seconds, Client IP: 127.0.0.1
2024-11-09 17:31:39,930 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.100 seconds, Client IP: 127.0.0.1
2024-11-09 17:31:46,265 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.242 seconds, Client IP: 127.0.0.1
2024-11-09 17:31:52,036 - Method: POST, Path: /login, Status Code: 200, Response Time: 1.129 seconds, Client IP: 127.0.0.1
2024-11-09 17:32:06,334 - Method: GET, Path: /products, Status Code: 401, Response Time: 0.115 seconds, Client IP: 127.0.0.1
2024-11-09 17:32:13,210 - Method: GET, Path: /products, Status Code: 200, Response Time: 0.923 seconds, Client IP: 127.0.0.1
